id_mov,data,ano_mes,tipo,valor,valor_captacao,valor_resgate,cliente_id,nome,segmento,status,data_entrada,produto,classe,taxa_admin_aa,meta_captacao_mes,canal
M0151,2025-03-19,2025-03,captacao,13795.39,13795.39,0.0,C019,Diego Lima,Private,inativo,2023-03-24,Fundo DI,Renda Fixa,0.74,1200000.0,Assessor
M0152,2025-02-20,2025-02,resgate,10888.45,0.0,10888.45,C006,Lucas Souza,Alta Renda,inativo,2023-10-02,Fundo DI,Renda Fixa,0.74,1200000.0,Assessor
M0153,2025-02-13,2025-02,resgate,14524.85,0.0,14524.85,C022,Carla Pereira,Varejo,inativo,2024-06-25,Renda Fixa Credito,Renda Fixa,0.33,1200000.0,Assessor
M0154,2025-01-08,2025-01,captacao,4591.48,4591.48,0.0,C037,Nicolas Nascimento,Alta Renda,inativo,2023-03-21,Renda Fixa Credito,Renda Fixa,0.33,1200000.0,Assessor
M0155,2025-06-13,2025-06,captacao,40345.01,40345.01,0.0,C031,Lucas Costa,Alta Renda,inativo,2023-11-13,Acoes Brasil,Renda Variavel,1.65,500000.0,Parceiro
M0156,2025-04-14,2025-04,resgate,36829.99,0.0,36829.99,C027,Nicolas Oliveira,Varejo,inativo,2023-04-21,Fundo Multimercado,Multimercado,1.36,1200000.0,App
M0157,2025-02-22,2025-02,resgate,48926.16,0.0,48926.16,C023,Karen Nascimento,Varejo,ativo,2023-12-18,Acoes Brasil,Renda Variavel,1.65,500000.0,Parceiro
M0158,2025-07-14,2025-07,captacao,41683.43,41683.43,0.0,C030,Elena Silva,Varejo,ativo,2023-09-18,Acoes Brasil,Renda Variavel,1.65,500000.0,Assessor
M0159,2025-04-26,2025-04,captacao,12129.33,12129.33,0.0,C040,Felipe Lima,Private,inativo,2023-01-30,Fundo DI,Renda Fixa,0.74,1200000.0,App
M0160,2025-02-10,2025-02,resgate,74766.37,0.0,74766.37,C032,Gabriela Pereira,Varejo,ativo,2023-11-08,Acoes Brasil,Renda Variavel,1.65,500000.0,Assessor
M0161,2025-05-08,2025-05,captacao,40292.25,40292.25,0.0,C030,Elena Silva,Varejo,ativo,2023-09-18,Renda Fixa Credito,Renda Fixa,0.33,1200000.0,Assessor
M0162,2025-05-30,2025-05,captacao,4843.99,4843.99,0.0,C031,Lucas Costa,Alta Renda,inativo,2023-11-13,Fundo Multimercado,Multimercado,1.36,1200000.0,Assessor
M0163,2025-01-03,2025-01,resgate,35043.29,0.0,35043.29,C026,Carla Silva,Varejo,inativo,2023-06-08,Tesouro Selic,Renda Fixa,1.67,500000.0,Parceiro
M0164,2025-04-13,2025-04,captacao,46052.25,46052.25,0.0,C019,Diego Lima,Private,inativo,2023-03-24,Tesouro Selic,Renda Fixa,1.67,500000.0,Assessor
M0165,2025-05-10,2025-05,resgate,61387.93,0.0,61387.93,C008,Joao Costa,Private,ativo,2023-06-06,Fundo DI,Renda Fixa,0.74,1200000.0,Assessor
M0166,2025-04-11,2025-04,resgate,63796.88,0.0,63796.88,C010,Elena Costa,Alta Renda,inativo,2024-06-03,Fundo Multimercado,Multimercado,1.36,1200000.0,Parceiro
M0167,2025-05-11,2025-05,captacao,40506.15,40506.15,0.0,C022,Carla Pereira,Varejo,inativo,2024-06-25,Fundo Multimercado,Multimercado,1.36,1200000.0,Assessor
M0168,2025-04-27,2025-04,resgate,48894.58,0.0,48894.58,C040,Felipe Lima,Private,inativo,2023-01-30,Acoes Brasil,Renda Variavel,1.65,500000.0,Parceiro
M0169,2025-04-11,2025-04,resgate,47904.25,0.0,47904.25,C032,Gabriela Pereira,Varejo,ativo,2023-11-08,Tesouro Selic,Renda Fixa,1.67,500000.0,Assessor
M0170,2025-05-02,2025-05,captacao,30100.27,30100.27,0.0,C020,Bruno Rodrigues,Alta Renda,ativo,2023-11-18,Renda Fixa Credito,Renda Fixa,0.33,1200000.0,Assessor
M0171,2025-03-09,2025-03,captacao,57990.61,57990.61,0.0,C034,Iris Rodrigues,Private,ativo,2024-05-01,Fundo DI,Renda Fixa,0.74,1200000.0,Assessor
M0172,2025-02-07,2025-02,resgate,3494.07,0.0,3494.07,C029,Felipe Lima,Private,ativo,2023-07-02,Renda Fixa Credito,Renda Fixa,0.33,1200000.0,App
M0173,2025-02-08,2025-02,resgate,55549.0,0.0,55549.0,C031,Lucas Costa,Alta Renda,inativo,2023-11-13,Tesouro Selic,Renda Fixa,1.67,500000.0,Assessor
M0174,2025-05-13,2025-05,resgate,45310.0,0.0,45310.0,C021,Elena Costa,Varejo,ativo,2024-06-02,Fundo DI,Renda Fixa,0.74,1200000.0,App
M0175,2025-05-17,2025-05,resgate,44155.58,0.0,44155.58,C013,Iris Rodrigues,Private,ativo,2023-01-22,Fundo Multimercado,Multimercado,1.36,1200000.0,App
M0176,2025-05-23,2025-05,captacao,18764.5,18764.5,0.0,C032,Gabriela Pereira,Varejo,ativo,2023-11-08,Fundo Multimercado,Multimercado,1.36,1200000.0,Assessor
M0177,2025-03-31,2025-03,resgate,23735.36,0.0,23735.36,C025,Lucas Almeida,Varejo,inativo,2023-06-01,Tesouro Selic,Renda Fixa,1.67,500000.0,Assessor
M0178,2025-07-17,2025-07,resgate,23945.76,0.0,23945.76,C023,Karen Nascimento,Varejo,ativo,2023-12-18,Acoes Brasil,Renda Variavel,1.65,500000.0,App
M0179,2025-03-07,2025-03,captacao,17904.96,17904.96,0.0,C018,Hugo Almeida,Varejo,inativo,2024-05-13,Acoes Brasil,Renda Variavel,1.65,500000.0,Assessor
M0180,2025-06-07,2025-06,resgate,20154.19,0.0,20154.19,C004,Bruno Costa,Alta Renda,ativo,2023-08-27,Fundo Multimercado,Multimercado,1.36,1200000.0,Assessor
